epoch, train loss, val loss, train acc, val acc, miou
179, 0.07164, 0.27202, 0.97396, 0.92703, 0.58126
180, 0.06720, 0.27413, 0.97545, 0.92655, 0.58262
181, 0.07451, 0.27038, 0.97309, 0.92815, 0.58879
182, 0.07177, 0.27942, 0.97371, 0.92586, 0.56950
183, 0.06995, 0.27532, 0.97455, 0.92649, 0.57990
184, 0.07107, 0.27002, 0.97413, 0.92844, 0.57541
185, 0.06689, 0.28491, 0.97563, 0.92642, 0.57634
186, 0.06726, 0.27529, 0.97547, 0.92561, 0.57705
187, 0.06698, 0.26769, 0.97538, 0.92911, 0.58937
188, 0.06629, 0.28111, 0.97584, 0.92656, 0.57584
189, 0.06618, 0.28436, 0.97593, 0.92554, 0.57060
190, 0.06675, 0.28917, 0.97571, 0.92623, 0.57306
191, 0.07029, 0.28723, 0.97441, 0.92640, 0.57050
192, 0.07400, 0.27848, 0.97318, 0.92683, 0.57566
193, 0.06851, 0.27505, 0.97522, 0.92725, 0.58194
194, 0.06615, 0.27415, 0.97579, 0.92804, 0.58861
195, 0.06654, 0.26867, 0.97589, 0.92850, 0.58871
196, 0.06681, 0.28065, 0.97583, 0.92694, 0.58894
197, 0.06812, 0.27264, 0.97515, 0.92742, 0.58409
198, 0.06732, 0.27056, 0.97547, 0.92850, 0.59555
199, 0.06614, 0.27665, 0.97579, 0.92769, 0.58758
